"My Louisiana Heron"|http://www.cdbaby.com/cd/dangribbin|Here's the site for downloading my new album, "My Louisiana Heron," at a special price.  Or email me about sending you the CD itself.  Lots of nice art work--my photos of Tricolored Herons.
Dan Gribbin's Shore Bird Note Cards|https://dansbirdcards.com|The galleries at my shore birds website allow for easy ordering of sets of note cards.  But you can always just enjoy the birds, too.
Video of Dan's song "Peppermint Roses"|http://youtu.be/Iqub4j-Uqrc|Here's a video version of "Peppermint Roses," written in the Fall of 2010 and filmed by my favorite documentary filmmaker, George Sibley.
Video of Dan playing "Sunday Street"|http://youtu.be/XP9y2xem4t0|Video filmed by George Sibley of my arrangement of Dave Van Ronks's great song.
Katia's Dreamcatchers|https://www.youtube.com/watch?v=YschtDluwWU|Beautiful dreamcatchers available from my Swiss friend Katia.  Let me know if you'd like to contact her about obtaining one.
